company,url
'Beijing Enlight Pictures',http://en.wikipedia.org/wiki/Beijing_Enlight_Pictures'
'Beijing Enlight Pictures',http://en.wikipedia.org/wiki/Beijing_Enlight_Pictures'
'Capitol Films',http://en.wikipedia.org/wiki/Capitol_Films'
'DreamWorks Animation',http://en.wikipedia.org/wiki/DreamWorks_Animation'
'20th Century Fox',http://en.wikipedia.org/wiki/20th_Century_Fox'
'20th Century Fox Animation',http://en.wikipedia.org/wiki/20th_Century_Fox_Animation'
'Blue Sky Studios',http://en.wikipedia.org/wiki/Blue_Sky_Studios'
'Fox Searchlight Pictures',http://en.wikipedia.org/wiki/Fox_Searchlight_Pictures'
'Fox Atomic',http://en.wikipedia.org/wiki/Fox_Atomic'
'Metro-Goldwyn-Mayer',http://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer'
'Metro-Goldwyn-Mayer Animation',http://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer_Animation'
'United Artists',http://en.wikipedia.org/wiki/United_Artists'
'Orion Pictures Corporation',http://en.wikipedia.org/wiki/Orion_Pictures_Corporation'
'American International Pictures',http://en.wikipedia.org/wiki/American_International_Pictures'
'Filmways',http://en.wikipedia.org/wiki/Filmways'
'Streamline Pictures',http://en.wikipedia.org/wiki/Streamline_Pictures'
'Universal Studios',http://en.wikipedia.org/wiki/Universal_Studios'
'Eon Productions',http://en.wikipedia.org/wiki/Eon_Productions'
'Focus Features',http://en.wikipedia.org/wiki/Focus_Features'
'Working Title Films',http://en.wikipedia.org/wiki/Working_Title_Films'
'Rogue Pictures',http://en.wikipedia.org/wiki/Rogue_Pictures'
'Paramount Pictures',http://en.wikipedia.org/wiki/Paramount_Pictures'
'Paramount Vantage',http://en.wikipedia.org/wiki/Paramount_Vantage'
'Republic Pictures',http://en.wikipedia.org/wiki/Republic_Pictures'
'Columbia Pictures',http://en.wikipedia.org/wiki/Columbia_Pictures'
'TriStar Pictures',http://en.wikipedia.org/wiki/TriStar_Pictures'
'Sony Pictures Classics',http://en.wikipedia.org/wiki/Sony_Pictures_Classics'
'Screen Gems',http://en.wikipedia.org/wiki/Screen_Gems'
'Triumph Films',http://en.wikipedia.org/wiki/Triumph_Films'
'Destination Films',http://en.wikipedia.org/wiki/Destination_Films'
'Sony Pictures Animation',http://en.wikipedia.org/wiki/Sony_Pictures_Animation'
'Warner Bros',http://en.wikipedia.org/wiki/Warner_Bros.'
'Warner Independent Pictures',http://en.wikipedia.org/wiki/Warner_Independent_Pictures'
'Castle Rock Entertainment',http://en.wikipedia.org/wiki/Castle_Rock_Entertainment'
'Warner Bros Animation',http://en.wikipedia.org/wiki/Warner_Bros._Animation'
'New Line Cinema',http://en.wikipedia.org/wiki/New_Line_Cinema'
'Fine Line Features',http://en.wikipedia.org/wiki/Fine_Line_Features'
'Picturehouse (company)',http://en.wikipedia.org/wiki/Picturehouse_(company)'
'Walt Disney Pictures',http://en.wikipedia.org/wiki/Walt_Disney_Pictures'
'Walt Disney Animation Studios',http://en.wikipedia.org/wiki/Walt_Disney_Animation_Studios'
'Pixar Animation Studios',http://en.wikipedia.org/wiki/Pixar_Animation_Studios'
'Disneynature',http://en.wikipedia.org/wiki/Disneynature'
'Marvel Studios',http://en.wikipedia.org/wiki/Marvel_Studios'
'Touchstone Pictures',http://en.wikipedia.org/wiki/Touchstone_Pictures'
'Hollywood Pictures',http://en.wikipedia.org/wiki/Hollywood_Pictures'
'Miramax Films',http://en.wikipedia.org/wiki/Miramax_Films'
'Lions Gate Entertainment',http://en.wikipedia.org/wiki/Lions_Gate_Entertainment'
'Artisan Entertainment',http://en.wikipedia.org/wiki/Artisan_Entertainment'
'The Weinstein Company',http://en.wikipedia.org/wiki/The_Weinstein_Company'
'Dimension Films',http://en.wikipedia.org/wiki/Dimension_Films'
'CBS Films',http://en.wikipedia.org/wiki/CBS_Films'
'Brent Hodge',http://en.wikipedia.org/wiki/Brent_Hodge'
'Mercury Radio Arts',http://en.wikipedia.org/wiki/Mercury_Radio_Arts'
'Yari Film Group',http://en.wikipedia.org/wiki/Yari_Film_Group'
'Troma Entertainment',http://en.wikipedia.org/wiki/Troma_Entertainment'
'Summit Entertainment',http://en.wikipedia.org/wiki/Summit_Entertainment'
'Strand Releasing',http://en.wikipedia.org/wiki/Strand_Releasing'
'Newmarket Films',http://en.wikipedia.org/wiki/Newmarket_Films'
'Elevating Entertainment Motion Pictures',http://en.wikipedia.org/wiki/Elevating_Entertainment_Motion_Pictures'
'Five & Two Pictures',http://en.wikipedia.org/wiki/Five_%26_Two_Pictures'
'Gener8Xion Entertainment',http://en.wikipedia.org/wiki/Gener8Xion_Entertainment'
'Pure Flix Entertainment',http://en.wikipedia.org/wiki/Pure_Flix_Entertainment'
'World Wide Pictures',http://en.wikipedia.org/wiki/World_Wide_Pictures'
'Promenade Pictures',http://en.wikipedia.org/wiki/Promenade_Pictures'
'Sherwood Pictures',http://en.wikipedia.org/wiki/Sherwood_Pictures'
'Albany Georgia',http://en.wikipedia.org/wiki/Albany_Georgia'
'PolyGram Filmed Entertainment',http://en.wikipedia.org/wiki/PolyGram_Filmed_Entertainment'
'Possibility Pictures',http://en.wikipedia.org/wiki/Possibility_Pictures'
'Producers Releasing Corporation',http://en.wikipedia.org/wiki/Producers_Releasing_Corporation'
'RKO Pictures',http://en.wikipedia.org/wiki/RKO_Pictures'
'Trimark Pictures',http://en.wikipedia.org/wiki/Trimark_Pictures'
'Samuel Goldwyn Films',http://en.wikipedia.org/wiki/Samuel_Goldwyn_Films'
'Palm Pictures',http://en.wikipedia.org/wiki/Palm_Pictures'
'Magnolia Pictures',http://en.wikipedia.org/wiki/Magnolia_Pictures'
'Uncommon Productions',http://en.wikipedia.org/wiki/Uncommon_Productions'
'Overture Films',http://en.wikipedia.org/wiki/Overture_Films'
'First Look Studios',http://en.wikipedia.org/wiki/First_Look_Studios'
'Screen Media Films',http://en.wikipedia.org/wiki/Screen_Media_Films'
'Image Entertainment',http://en.wikipedia.org/wiki/Image_Entertainment'
'Pacific International Enterprises',http://en.wikipedia.org/wiki/Pacific_International_Enterprises'
'IFC Films',http://en.wikipedia.org/wiki/IFC_Films'
'Hannover House',http://en.wikipedia.org/wiki/Hannover_House'
'THINKFilm',http://en.wikipedia.org/wiki/THINKFilm'
'Spiderwood Productions',http://en.wikipedia.org/wiki/Spiderwood_Productions'
'Vivendi Entertainment',http://en.wikipedia.org/wiki/Vivendi_Entertainment'
'Velvet Film',http://en.wikipedia.org/wiki/Velvet_Film'
'Tyler Perry Studios',http://en.wikipedia.org/wiki/Tyler_Perry_Studios'
